Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,No,Non-Travel,Sales,20,3,Medical,1,11,4,Female,39,4,3,Sales Executive,4,Divorced,4721,19332,3,Y,Yes,25,3,4,80,0,4,3,3,0,0,0,0
41,No,Travel_Rarely,Research & Development,11,1,Technical Degree,1,12,3,Male,68,3,3,Research Scientist,1,Single,4837,2710,2,Y,Yes,20,3,3,80,0,18,1,1,15,8,2,0
53,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,13,2,Male,52,3,1,Healthcare Representative,1,Single,6193,21708,3,Y,No,21,3,3,80,1,33,4,1,33,28,0,6
57,No,Travel_Rarely,Human Resources,28,2,Marketing,1,14,3,Female,66,3,3,Human Resources,2,Single,3575,4182,2,Y,No,13,3,3,80,1,2,2,4,0,0,0,0
41,No,Travel_Rarely,Research & Development,7,1,Medical,1,15,2,Male,37,3,2,Research Scientist,1,Divorced,3854,22351,4,Y,No,25,3,2,80,3,19,3,2,15,1,0,2
20,No,Travel_Frequently,Research & Development,14,1,Life Sciences,1,16,3,Female,89,3,2,Manufacturing Director,1,Married,7483,26150,3,Y,No,18,3,4,80,0,5,2,4,5,1,1,5
39,No,Travel_Rarely,Research & Development,13,3,Technical Degree,1,17,4,Male,34,3,2,Manufacturing Director,3,Single,3024,23092,2,Y,No,25,4,2,80,1,16,2,2,16,7,0,3
19,No,Travel_Frequently,Research & Development,5,2,Life Sciences,1,18,1,Female,56,2,2,Healthcare Representative,4,Single,1630,3138,2,Y,No,21,4,3,80,1,6,2,3,5,2,0,2
41,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,19,2,Male,48,2,2,Healthcare Representative,2,Single,5400,19123,3,Y,No,19,3,3,80,1,10,4,3,7,1,1,0
47,No,Travel_Rarely,Sales,19,4,Technical Degree,1,20,4,Male,72,3,3,Sales Representative,3,Single,9344,19418,1,Y,No,12,3,3,80,1,6,2,3,5,5,3,0
55,No,Travel_Rarely,Sales,10,3,Medical,1,21,4,Male,72,2,1,Sales Executive,3,Married,7431,14623,7,Y,Yes,22,4,2,80,0,15,2,3,13,7,0,3
19,No,Non-Travel,Research & Development,8,4,Other,1,22,3,Female,64,2,5,Laboratory Technician,2,Single,5460,18820,2,Y,No,14,3,4,80,1,12,2,3,9,4,0,2
38,No,Travel_Rarely,Research & Development,18,3,Medical,1,23,3,Female,84,2,2,Research Scientist,3,Single,10408,3760,3,Y,No,24,3,4,80,1,9,0,2,5,1,1,1
50,No,Travel_Rarely,Research & Development,1,3,Marketing,1,24,3,Male,90,4,1,Research Scientist,2,Divorced,9407,4558,2,Y,Yes,18,3,3,80,0,17,5,3,14,10,0,10
29,No,Travel_Rarely,Research & Development,5,4,Technical Degree,1,25,4,Female,76,1,1,Healthcare Representative,1,Married,4029,2131,2,Y,No,15,3,4,80,0,1,3,3,1,1,1,1
39,No,Travel_Frequently,Research & Development,11,1,Life Sciences,1,26,4,Male,85,2,3,Laboratory Technician,4,Married,5701,22909,2,Y,No,11,3,4,80,1,1,1,1,1,1,1,1
42,Yes,Travel_Rarely,Research & Development,20,1,Marketing,1,27,2,Female,47,3,3,Laboratory Technician,1,Single,5850,16902,3,Y,No,16,4,3,80,0,1,2,1,1,1,1,1
44,No,Travel_Frequently,Sales,11,3,Medical,1,28,3,Female,94,4,1,Sales Executive,4,Married,4665,12446,3,Y,No,24,3,4,80,0,5,6,3,2,1,1,2
59,Yes,Travel_Frequently,Human Resources,16,3,Life Sciences,1,29,3,Female,82,3,1,Human Resources,1,Married,9706,18728,2,Y,No,19,4,2,80,1,1,3,2,1,1,1,1
45,No,Travel_Rarely,Research & Development,10,4,Medical,1,30,4,Female,40,4,3,Research Scientist,3,Single,4485,23485,1,Y,No,19,3,4,80,0,18,2,3,18,13,2,1
33,No,Travel_Rarely,Human Resources,15,4,Life Sciences,1,31,3,Female,30,3,1,Human Resources,3,Single,3640,25716,1,Y,No,21,3,1,80,0,1,2,3,0,0,0,0
32,Yes,Travel_Rarely,Research & Development,7,3,Marketing,1,32,3,Male,37,3,4,Healthcare Representative,1,Divorced,1038,18741,3,Y,No,11,3,4,80,1,8,2,3,8,5,0,2
20,No,Travel_Frequently,Research & Development,15,3,Medical,1,33,4,Female,48,3,3,Manufacturing Director,1,Divorced,3044,25005,2,Y,No,14,3,4,80,0,2,0,4,1,1,1,1
54,No,Travel_Frequently,Human Resources,29,3,Human Resources,1,34,1,Female,84,3,2,Human Resources,3,Single,2232,7980,2,Y,Yes,11,3,3,80,1,16,4,4,14,4,4,4
24,No,Travel_Rarely,Research & Development,25,5,Life Sciences,1,35,2,Female,45,3,2,Laboratory Technician,4,Married,4797,7199,2,Y,Yes,17,4,3,80,0,25,2,2,22,19,2,0
38,No,Non-Travel,Research & Development,16,4,Medical,1,36,2,Male,95,1,1,Laboratory Technician,4,Divorced,2316,3715,2,Y,No,13,3,4,80,2,5,4,3,4,1,1,4
26,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,37,2,Male,41,4,4,Healthcare Representative,3,Single,7081,20231,1,Y,No,12,3,4,80,0,17,3,2,14,3,0,2
56,No,Travel_Frequently,Research & Development,11,2,Medical,1,38,1,Male,91,3,1,Healthcare Representative,4,Married,9557,22060,4,Y,No,24,3,1,80,0,3,2,3,0,0,0,0
35,No,Travel_Rarely,Research & Development,17,4,Marketing,1,39,1,Female,87,3,2,Laboratory Technician,3,Divorced,4823,19635,2,Y,No,18,4,4,80,1,16,4,3,12,9,2,5
21,Yes,Travel_Frequently,Sales,15,2,Marketing,1,40,3,Male,50,3,2,Sales Representative,4,Divorced,2723,7602,3,Y,Yes,19,3,2,80,0,2,2,1,1,1,0,1
42,No,Travel_Rarely,Research & Development,16,2,Technical Degree,1,41,4,Male,66,3,1,Research Scientist,3,Married,5836,12051,1,Y,Yes,25,3,4,80,1,16,3,4,16,6,0,1
31,No,Non-Travel,Research & Development,24,4,Technical Degree,1,42,3,Male,34,4,2,Manufacturing Director,3,Single,15307,22634,0,Y,No,17,3,2,80,1,4,4,2,0,0,0,0
26,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,43,3,Male,99,3,3,Laboratory Technician,4,Single,12701,22313,3,Y,Yes,16,3,1,80,1,6,6,3,5,5,4,1
43,No,Travel_Frequently,Research & Development,4,5,Life Sciences,1,44,2,Male,61,3,2,Healthcare Representative,3,Divorced,2114,7955,1,Y,Yes,20,3,2,80,0,10,1,3,9,1,1,4
19,No,Travel_Rarely,Research & Development,19,2,Marketing,1,45,4,Male,96,3,5,Research Scientist,4,Divorced,2067,13827,2,Y,Yes,23,4,3,80,2,4,0,3,2,1,1,0
37,No,Travel_Rarely,Human Resources,6,4,Medical,1,46,4,Female,39,2,4,Human Resources,3,Married,1772,13542,1,Y,No,21,3,4,80,1,1,3,2,1,1,1,0
45,No,Travel_Rarely,Research & Development,18,2,Life Sciences,1,47,3,Female,98,3,2,Research Scientist,1,Married,2484,21581,4,Y,No,16,3,1,80,0,2,2,3,0,0,0,0
24,No,Travel_Rarely,Research & Development,21,3,Medical,1,48,2,Male,91,2,2,Healthcare Representative,1,Married,5715,6846,2,Y,Yes,19,4,4,80,0,5,2,3,2,1,1,1
25,No,Travel_Rarely,Research & Development,11,2,Medical,1,49,1,Female,66,3,2,Healthcare Representative,2,Married,3519,16359,2,Y,No,15,4,4,80,1,5,1,3,5,4,0,0
52,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,50,1,Female,76,3,3,Research Scientist,3,Divorced,2971,19523,3,Y,No,15,3,4,80,2,2,3,3,0,0,0,0
31,No,Travel_Rarely,Research & Development,3,3,Technical Degree,1,51,3,Male,78,2,2,Healthcare Representative,4,Married,9167,10109,2,Y,No,12,3,3,80,0,5,1,2,3,3,3,1
34,Yes,Travel_Rarely,Research & Development,2,3,Medical,1,52,4,Male,53,1,5,Research Scientist,1,Married,6755,21335,5,Y,Yes,16,4,3,80,2,0,4,3,0,0,0,0
53,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,53,4,Female,55,3,3,Healthcare Representative,4,Single,1767,3196,3,Y,No,24,3,1,80,1,12,4,3,11,1,0,0
57,No,Travel_Rarely,Research & Development,15,1,Life Sciences,1,54,3,Male,84,3,2,Research Scientist,4,Married,8857,9397,2,Y,No,22,4,2,80,0,3,1,3,0,0,0,0
21,No,Travel_Frequently,Sales,25,1,Technical Degree,1,55,4,Female,36,2,3,Sales Representative,1,Married,6658,24923,5,Y,No,22,3,4,80,1,6,4,3,2,1,0,2
19,No,Travel_Rarely,Sales,22,3,Human Resources,1,56,4,Male,70,4,2,Sales Representative,4,Single,6747,24480,4,Y,No,22,3,1,80,0,4,2,3,0,0,0,0
23,No,Travel_Rarely,Sales,18,4,Marketing,1,57,2,Male,31,4,4,Sales Representative,4,Divorced,3490,20090,3,Y,Yes,16,3,4,80,1,7,2,3,3,1,1,0
59,No,Travel_Rarely,Research & Development,19,4,Life Sciences,1,58,2,Female,59,3,2,Manufacturing Director,4,Married,4392,20043,2,Y,No,16,4,1,80,1,15,2,1,12,8,2,12
21,No,Travel_Rarely,Sales,15,2,Other,1,59,4,Male,49,3,1,Sales Representative,4,Divorced,1504,5449,1,Y,No,14,4,1,80,0,3,4,3,3,1,1,1
46,No,Travel_Rarely,Sales,17,3,Medical,1,60,2,Female,85,4,1,Sales Executive,4,Single,8268,12662,3,Y,Yes,21,3,2,80,2,1,2,3,1,1,1,1
35,No,Travel_Rarely,Sales,18,4,Technical Degree,1,61,4,Male,53,3,4,Sales Executive,3,Married,2699,4601,2,Y,No,25,3,4,80,0,9,0,3,9,8,3,0
43,Yes,Travel_Rarely,Research & Development,18,2,Marketing,1,62,4,Male,41,2,2,Research Scientist,2,Single,2914,20678,2,Y,Yes,17,3,3,80,2,14,6,3,10,5,0,8
51,No,Travel_Frequently,Sales,11,3,Life Sciences,1,63,3,Male,44,3,5,Sales Executive,4,Divorced,2891,22482,2,Y,No,25,3,1,80,0,2,2,3,1,1,1,1
27,No,Travel_Frequently,Research & Development,18,3,Medical,1,64,4,Male,77,4,1,Laboratory Technician,3,Single,14475,13058,2,Y,No,19,3,3,80,1,12,5,3,10,7,0,9
53,No,Travel_Rarely,Sales,23,2,Life Sciences,1,65,4,Male,90,3,2,Sales Representative,3,Married,3290,24288,0,Y,No,11,4,4,80,1,24,2,2,20,19,2,1
31,No,Travel_Frequently,Research & Development,3,1,Life Sciences,1,66,3,Male,57,4,1,Healthcare Representative,2,Divorced,8650,11092,0,Y,No,13,3,3,80,1,4,4,4,1,1,1,0
48,No,Travel_Frequently,Human Resources,13,2,Marketing,1,67,2,Male,32,4,2,Human Resources,4,Married,4844,16916,1,Y,No,20,3,1,80,0,10,3,3,10,10,0,2
32,No,Travel_Frequently,Human Resources,14,3,Other,1,68,1,Female,45,3,2,Human Resources,1,Divorced,2988,22261,1,Y,No,25,3,1,80,2,10,4,1,8,1,0,2
25,No,Travel_Rarely,Research & Development,27,1,Marketing,1,69,2,Male,65,4,1,Research Scientist,4,Divorced,2680,17427,5,Y,No,25,3,4,80,0,4,6,1,4,4,0,0
31,No,Travel_Rarely,Research & Development,4,2,Medical,1,70,3,Female,33,2,3,Laboratory Technician,2,Single,3370,13315,1,Y,No,19,3,3,80,0,0,5,4,0,0,0,0
40,Yes,Travel_Rarely,Research & Development,18,3,Life Sciences,1,71,1,Male,38,2,2,Research Scientist,1,Single,4700,2734,5,Y,No,24,4,4,80,0,0,2,2,0,0,0,0
57,No,Travel_Rarely,Research & Development,5,1,Life Sciences,1,72,1,Male,41,2,2,Manufacturing Director,3,Single,7051,8019,2,Y,Yes,15,3,3,80,1,14,4,3,13,4,4,0
38,No,Travel_Rarely,Research & Development,14,2,Life Sciences,1,73,1,Female,73,3,2,Research Scientist,1,Single,3704,22564,0,Y,No,16,3,1,80,1,34,3,2,32,17,1,2
33,No,Travel_Rarely,Sales,25,4,Medical,1,74,3,Male,95,2,3,Sales Representative,3,Divorced,3622,13281,3,Y,No,18,4,3,80,1,11,1,4,7,6,1,3
35,No,Travel_Rarely,Research & Development,12,1,Medical,1,75,4,Male,48,3,1,Research Scientist,4,Divorced,2896,4193,2,Y,Yes,19,4,3,80,2,5,5,3,4,1,0,4
41,No,Travel_Frequently,Sales,25,3,Life Sciences,1,76,4,Male,42,2,2,Sales Representative,4,Single,2400,12928,2,Y,No,18,3,3,80,2,10,2,3,7,5,0,0
43,Yes,Travel_Rarely,Research & Development,7,3,Human Resources,1,77,3,Female,84,3,2,Healthcare Representative,1,Married,2283,26345,2,Y,No,13,3,4,80,0,9,1,1,6,5,1,3
42,Yes,Travel_Rarely,Research & Development,12,3,Life Sciences,1,78,4,Female,94,3,3,Laboratory Technician,1,Married,8891,16954,5,Y,Yes,20,3,3,80,1,7,2,2,3,3,3,0
58,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,79,4,Male,99,3,4,Manufacturing Director,4,Single,3578,9992,4,Y,No,11,3,3,80,0,2,3,3,0,0,0,0
46,No,Travel_Rarely,Research & Development,29,2,Medical,1,80,3,Male,32,3,2,Laboratory Technician,4,Married,3773,14371,6,Y,No,21,3,2,80,2,16,3,3,12,6,0,2
32,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,81,3,Female,54,2,2,Manufacturing Director,3,Single,3294,26911,6,Y,No,23,3,2,80,2,4,3,3,3,1,1,3
18,No,Travel_Rarely,Research & Development,21,3,Technical Degree,1,82,1,Male,81,3,4,Manufacturing Director,3,Married,4063,17793,1,Y,Yes,22,3,3,80,2,13,2,1,11,8,1,0
42,No,Travel_Rarely,Research & Development,28,4,Marketing,1,83,4,Male,45,1,5,Research Scientist,2,Married,6140,24267,2,Y,Yes,23,4,3,80,1,5,3,3,2,1,1,0
24,No,Travel_Frequently,Sales,3,3,Medical,1,84,2,Male,72,3,3,Sales Executive,4,Married,3669,5843,1,Y,No,15,3,1,80,0,2,5,3,0,0,0,0
26,No,Travel_Rarely,Research & Development,22,5,Medical,1,85,3,Male,85,3,5,Laboratory Technician,3,Single,5477,6840,1,Y,No,17,4,2,80,0,3,2,3,1,1,1,1
41,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,86,3,Male,97,3,3,Human Resources,2,Divorced,11509,14675,7,Y,No,12,4,3,80,0,6,3,1,4,1,0,3
18,No,Travel_Frequently,Human Resources,3,5,Medical,1,87,2,Female,37,1,3,Human Resources,2,Married,3005,25673,2,Y,No,11,3,4,80,0,24,2,4,20,11,5,20
25,Yes,Travel_Frequently,Research & Development,11,3,Other,1,88,2,Male,73,1,2,Healthcare Representative,4,Divorced,3775,19911,3,Y,Yes,14,3,2,80,2,0,0,3,0,0,0,0
41,No,Travel_Rarely,Sales,18,3,Life Sciences,1,89,3,Male,67,3,2,Sales Representative,1,Married,7220,8596,4,Y,No,13,3,3,80,0,14,3,3,13,13,1,1
28,Yes,Travel_Rarely,Sales,7,4,Life Sciences,1,90,1,Female,52,3,1,Sales Representative,2,Divorced,12068,15054,2,Y,Yes,14,3,2,80,2,7,0,3,5,1,1,2
34,No,Travel_Rarely,Research & Development,9,4,Other,1,91,4,Male,35,1,4,Manufacturing Director,3,Divorced,2332,11725,0,Y,No,11,3,4,80,2,14,4,1,12,1,1,9
25,No,Travel_Frequently,Research & Development,4,5,Life Sciences,1,92,3,Male,72,3,5,Research Scientist,1,Married,1771,6371,3,Y,No,12,3,4,80,1,6,3,3,2,1,0,0
52,No,Travel_Rarely,Research & Development,23,3,Medical,1,93,3,Male,73,2,3,Manufacturing Director,1,Married,4912,6981,4,Y,No,11,4,1,80,1,13,2,3,12,1,0,2
52,No,Travel_Rarely,Research & Development,24,4,Medical,1,94,3,Female,52,4,2,Manufacturing Director,4,Divorced,4617,10197,1,Y,No,13,3,3,80,0,11,2,3,10,7,1,1
50,No,Non-Travel,Research & Development,10,2,Medical,1,95,3,Male,45,3,1,Healthcare Representative,4,Married,7480,15048,3,Y,Yes,14,4,2,80,0,4,5,3,1,1,0,1
22,No,Non-Travel,Sales,18,3,Medical,1,96,3,Male,38,1,2,Sales Representative,4,Divorced,6826,8027,4,Y,No,23,3,2,80,1,1,0,2,0,0,0,0
59,No,Travel_Rarely,Sales,23,2,Life Sciences,1,97,3,Female,38,3,1,Sales Executive,4,Divorced,4815,15107,2,Y,No,11,3,3,80,0,15,3,4,14,7,0,5
56,No,Travel_Rarely,Sales,16,3,Life Sciences,1,98,4,Female,87,3,3,Sales Executive,3,Married,9223,25985,4,Y,No,16,3,3,80,0,25,5,3,23,7,3,1
58,No,Travel_Rarely,Research & Development,29,4,Marketing,1,99,4,Female,94,3,5,Research Scientist,4,Single,3266,6542,1,Y,Yes,12,3,4,80,1,0,5,4,0,0,0,0
45,No,Travel_Rarely,Sales,12,2,Marketing,1,100,4,Male,88,3,1,Sales Executive,2,Single,5580,10762,4,Y,No,20,3,1,80,2,11,3,4,9,8,2,2
24,No,Travel_Rarely,Research & Development,19,3,Marketing,1,101,2,Male,52,3,1,Laboratory Technician,3,Divorced,2369,23806,1,Y,No,22,3,4,80,2,20,2,2,16,12,1,8
26,Yes,Travel_Frequently,Research & Development,24,3,Medical,1,102,2,Male,98,3,3,Research Scientist,4,Single,4792,7288,0,Y,Yes,23,3,1,80,0,14,1,3,13,4,1,1
25,No,Travel_Rarely,Research & Development,22,2,Life Sciences,1,103,4,Male,48,3,2,Healthcare Representative,2,Single,2045,16716,3,Y,No,21,3,2,80,2,23,2,3,23,11,0,1
29,No,Travel_Frequently,Sales,3,3,Life Sciences,1,104,2,Female,64,3,4,Sales Representative,2,Married,2516,7444,2,Y,No,15,3,3,80,1,11,3,3,9,8,1,1
51,No,Travel_Rarely,Sales,8,3,Technical Degree,1,105,1,Male,84,1,2,Sales Executive,3,Married,13707,7790,6,Y,No,18,3,3,80,1,7,0,3,4,2,2,3
50,Yes,Travel_Rarely,Research & Development,27,2,Medical,1,106,3,Female,69,3,2,Research Scientist,1,Single,1644,5751,4,Y,Yes,22,3,4,80,0,6,5,4,2,1,0,1
40,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,107,1,Male,43,3,2,Laboratory Technician,1,Single,4315,11574,3,Y,Yes,23,3,3,80,1,6,3,3,2,2,2,0
41,Yes,Travel_Frequently,Research & Development,19,5,Life Sciences,1,108,2,Male,42,3,1,Laboratory Technician,4,Married,8073,2362,2,Y,Yes,14,3,2,80,1,13,0,2,9,4,3,9
54,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,109,4,Female,82,3,2,Research Scientist,4,Single,18635,21413,0,Y,No,15,3,4,80,1,11,2,2,9,6,0,9
52,No,Travel_Rarely,Research & Development,27,2,Life Sciences,1,110,3,Male,68,2,1,Laboratory Technician,3,Divorced,5465,14682,2,Y,No,19,3,2,80,0,1,3,3,1,1,1,1
57,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1,111,2,Female,94,3,2,Manufacturing Director,1,Single,5656,2183,5,Y,Yes,12,3,2,80,1,14,0,2,14,10,1,8
39,No,Travel_Rarely,Research & Development,17,4,Other,1,112,4,Female,85,3,2,Research Scientist,1,Divorced,5033,4019,1,Y,No,22,3,3,80,2,9,4,3,8,6,0,8
44,No,Travel_Rarely,Research & Development,13,2,Other,1,113,4,Male,69,2,1,Laboratory Technician,4,Divorced,9268,15705,2,Y,No,22,3,4,80,2,5,5,3,5,4,0,4
52,No,Travel_Frequently,Research & Development,2,1,Other,1,114,3,Male,75,1,1,Healthcare Representative,3,Married,6367,5341,3,Y,Yes,12,3,4,80,0,7,6,3,4,1,1,2
18,No,Travel_Rarely,Research & Development,4,3,Other,1,115,2,Male,36,3,2,Research Scientist,2,Married,3480,19626,2,Y,No,16,4,3,80,0,9,4,1,5,2,1,5
52,No,Travel_Rarely,Research & Development,29,4,Medical,1,116,4,Female,74,2,3,Research Scientist,3,Married,9597,18335,2,Y,No,16,3,4,80,0,3,4,3,1,1,1,1
54,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,117,3,Male,51,4,5,Healthcare Representative,2,Married,3724,11888,2,Y,No,13,4,3,80,1,5,3,2,1,1,1,0
31,No,Travel_Rarely,Research & Development,2,3,Technical Degree,1,118,3,Female,36,2,1,Healthcare Representative,3,Married,1883,7391,5,Y,No,22,3,4,80,2,4,2,3,0,0,0,0
20,No,Travel_Rarely,Research & Development,4,5,Life Sciences,1,119,4,Male,81,1,1,Laboratory Technician,4,Divorced,1887,10290,2,Y,Yes,19,3,2,80,0,4,3,3,1,1,0,1
18,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,120,3,Female,97,2,1,Healthcare Representative,3,Married,4356,8026,0,Y,No,23,4,2,80,2,8,2,3,4,4,2,4
22,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,121,2,Female,99,2,2,Manufacturing Director,4,Divorced,5228,5155,2,Y,No,11,3,2,80,1,9,1,3,5,1,1,4
43,Yes,Travel_Rarely,Sales,1,3,Medical,1,122,3,Male,96,3,3,Sales Executive,2,Single,8720,18908,2,Y,No,22,4,4,80,0,3,4,2,0,0,0,0
31,No,Travel_Rarely,Sales,25,5,Life Sciences,1,123,2,Male,32,2,4,Sales Executive,4,Single,7219,10675,2,Y,No,13,3,4,80,0,14,5,3,11,7,1,5
56,No,Travel_Rarely,Sales,26,3,Life Sciences,1,124,4,Male,87,2,3,Sales Representative,3,Divorced,5155,10109,3,Y,No,18,3,3,80,0,2,3,2,2,2,2,1
44,No,Travel_Rarely,Research & Development,11,4,Medical,1,125,3,Male,96,4,1,Healthcare Representative,1,Married,9017,13836,5,Y,No,18,3,1,80,1,20,3,3,16,15,2,5
26,No,Travel_Frequently,Research & Development,23,4,Other,1,126,1,Male,83,2,2,Research Scientist,3,Married,4952,5636,2,Y,No,14,4,2,80,0,24,3,2,23,4,0,0
32,No,Travel_Rarely,Sales,2,4,Medical,1,127,3,Male,38,2,4,Sales Representative,2,Married,2265,3467,3,Y,No,18,4,4,80,1,2,3,3,1,1,0,1
32,No,Travel_Rarely,Sales,19,2,Other,1,128,2,Female,83,3,2,Sales Representative,4,Single,1988,6933,3,Y,No,21,3,2,80,1,5,2,4,4,3,3,4
43,Yes,Travel_Rarely,Research & Development,29,3,Life Sciences,1,129,2,Female,80,3,2,Laboratory Technician,3,Married,10585,22657,2,Y,No,20,3,4,80,1,3,5,3,0,0,0,0
59,No,Travel_Rarely,Sales,8,4,Life Sciences,1,130,3,Female,45,3,5,Sales Representative,4,Single,1277,13584,3,Y,No,23,3,2,80,0,10,3,3,6,2,0,6
30,No,Travel_Rarely,Sales,23,2,Medical,1,131,2,Male,41,4,3,Sales Representative,1,Married,4357,18930,2,Y,Yes,18,3,3,80,1,6,1,3,6,4,3,1
49,No,Travel_Rarely,Research & Development,20,3,Medical,1,132,4,Female,49,3,3,Laboratory Technician,4,Married,19999,26992,1,Y,Yes,11,3,3,80,0,5,4,1,1,1,0,1
56,No,Travel_Frequently,Sales,4,2,Medical,1,133,1,Male,82,3,1,Sales Executive,3,Divorced,6473,22492,3,Y,No,13,3,4,80,2,6,2,4,5,3,0,0
49,No,Travel_Frequently,Sales,25,4,Technical Degree,1,134,3,Male,60,4,2,Sales Executive,4,Married,4336,8143,3,Y,No,11,3,3,80,1,3,3,2,1,1,0,1
21,No,Travel_Rarely,Research & Development,16,2,Marketing,1,135,4,Male,50,3,1,Manufacturing Director,2,Single,1788,17977,3,Y,No,25,4,3,80,0,2,3,4,1,1,0,1
47,Yes,Travel_Frequently,Research & Development,15,4,Human Resources,1,136,3,Male,32,2,3,Research Scientist,3,Married,12970,24136,0,Y,No,12,3,3,80,1,10,3,3,7,3,3,3
54,No,Travel_Frequently,Research & Development,5,3,Life Sciences,1,137,3,Male,50,3,1,Healthcare Representative,4,Single,10181,12274,1,Y,No,14,3,4,80,1,6,1,3,2,1,1,0
40,No,Travel_Rarely,Sales,29,2,Life Sciences,1,138,4,Male,57,3,4,Sales Executive,2,Single,7412,21028,3,Y,Yes,13,3,3,80,0,9,0,3,6,1,0,1
56,No,Travel_Rarely,Research & Development,27,3,Medical,1,139,2,Female,34,3,4,Manufacturing Director,2,Single,4913,10791,3,Y,No,23,4,2,80,0,3,2,3,3,2,2,3
32,No,Travel_Frequently,Research & Development,5,2,Life Sciences,1,140,1,Male,98,2,2,Manufacturing Director,3,Married,6927,9122,0,Y,No,25,3,3,80,1,33,3,3,29,3,3,3
60,No,Travel_Rarely,Sales,15,3,Life Sciences,1,141,3,Female,76,3,1,Sales Executive,3,Single,4495,2589,3,Y,No,21,3,3,80,0,5,2,1,1,1,0,1
46,No,Travel_Frequently,Sales,23,3,Life Sciences,1,142,1,Male,49,2,1,Sales Representative,2,Married,2740,7130,1,Y,Yes,16,3,4,80,0,8,2,3,4,1,1,2
53,No,Travel_Rarely,Sales,17,1,Life Sciences,1,143,4,Male,67,3,3,Sales Representative,2,Divorced,8723,25615,2,Y,No,22,3,2,80,1,9,6,3,7,2,2,7
